195,,Milroy Walk  South Bank,51.50724437,-0.106237501,29,1,TRUE,FALSE,FALSE
196,,Union Street  The Borough,51.50368837,-0.098497684,14,3,TRUE,FALSE,FALSE
197,,Stamford Street  South Bank,51.50556905,-0.111606696,12,15,TRUE,FALSE,FALSE
199,,Great Tower Street  Monument,51.51048489,-0.082989638,22,2,TRUE,FALSE,FALSE
200,,LMU Commercial Road  Whitechapel,51.51492456,-0.066078037,1,13,TRUE,FALSE,FALSE
201,,Dorset Square  Marylebone,51.5225965,-0.161113413,1,15,TRUE,FALSE,FALSE
202,,Leman Street  Aldgate,51.51236389,-0.06954201,13,3,TRUE,FALSE,FALSE
203,,West Smithfield Rotunda  Farringdon,51.51821864,-0.100791005,19,6,TRUE,FALSE,FALSE
204,,Margery Street  Clerkenwell,51.52659961,-0.112432615,3,16,TRUE,FALSE,FALSE
205,,New Road  2  Whitechapel,51.518144,-0.06275,16,20,TRUE,FALSE,FALSE
206,,New Road 1   Whitechapel,51.518154,-0.062697,15,22,TRUE,FALSE,FALSE
207,,Grosvenor Crescent  Belgravia,51.50135267,-0.153194766,15,3,TRUE,FALSE,FALSE
208,,Mallory Street  Marylebone,51.52505151,-0.166304359,1,19,TRUE,FALSE,FALSE
209,,Denyer Street  Knightsbridge,51.49358391,-0.165101392,16,14,TRUE,FALSE,FALSE
210,,Hinde Street  Marylebone,51.51681444,-0.151926305,21,0,TRUE,FALSE,FALSE
211,,Cadogan Place  Knightsbridge,51.49464523,-0.158105512,28,6,TRUE,FALSE,FALSE
212,,Campden Hill Road  Notting Hill,51.50658458,-0.199004026,2,15,TRUE,FALSE,FALSE
213,,Wellington Arch  Hyde Park,51.50274025,-0.149569201,16,20,TRUE,FALSE,FALSE
214,,Endsleigh Gardens  Euston,51.52683806,-0.130504336,19,13,TRUE,FALSE,FALSE
215,,Moorfields  Moorgate,51.51906932,-0.088285377,18,8,TRUE,FALSE,FALSE
217,,Wormwood Street  Liverpool Street,51.51615461,-0.082422399,7,9,TRUE,FALSE,FALSE
218,,St. Luke's Church  Chelsea,51.48971651,-0.170194408,19,1,TRUE,FALSE,FALSE
219,,Bramham Gardens  Earl's Court,51.49016361,-0.19039362,1,13,TRUE,FALSE,FALSE
220,,Chelsea Green  Chelsea,51.49066456,-0.166485083,27,0,TRUE,FALSE,FALSE
221,,Horseferry Road  Westminster,51.49481649,-0.13045856,12,4,TRUE,FALSE,FALSE
222,,Knightsbridge  Hyde Park,51.50275704,-0.155349725,0,43,TRUE,FALSE,FALSE
224,,Whiteley's  Bayswater,51.51476963,-0.188129731,8,8,TRUE,FALSE,FALSE
225,,Notting Hill Gate Station  Notting Hill,51.50935879,-0.196396821,1,15,TRUE,FALSE,FALSE
226,,Charles II Street  West End,51.50844614,-0.131961389,23,1,TRUE,FALSE,FALSE
227,,Great Percy Street  Clerkenwell,51.52891573,-0.115480888,1,22,TRUE,FALSE,FALSE
228,,St. James's Square  St. James's,51.50742485,-0.134621209,40,0,TRUE,FALSE,FALSE
229,,Whitehall Place  Strand,51.50654321,-0.123179697,45,1,TRUE,FALSE,FALSE
230,,Poured Lines  Bankside,51.50669284,-0.103137426,31,0,TRUE,FALSE,FALSE
231,,Queen's Gate (Central)  South Kensington,51.49396755,-0.17873226,25,6,TRUE,FALSE,FALSE
232,,Carey Street  Holborn,51.51501025,-0.112753217,16,0,TRUE,FALSE,FALSE
233,,Pall Mall East  West End,51.50777049,-0.130699733,22,0,TRUE,FALSE,FALSE
234,,Liverpool Road (N1 Centre)  Angel,51.53450449,-0.106992706,2,22,TRUE,FALSE,FALSE
235,,Kennington Road    Vauxhall,51.49571828,-0.110889274,11,25,TRUE,FALSE,FALSE
236,,Fashion Street  Whitechapel,51.51838043,-0.073438925,12,18,TRUE,FALSE,FALSE
237,,Vaughan Way  Wapping,51.5084448,-0.067176443,19,5,TRUE,FALSE,FALSE
238,,Frampton Street  Paddington,51.5233534,-0.175116099,14,18,TRUE,FALSE,FALSE
239,,Warren Street Station  Euston,51.52443845,-0.138019439,13,13,TRUE,FALSE,FALSE
240,,Colombo Street  Southwark,51.50545935,-0.10569204,9,6,TRUE,FALSE,FALSE
241,,Eaton Gate  Belgravia,51.4941646,-0.15460608,3,14,TRUE,FALSE,FALSE
242,,Beaumont Street  Marylebone,51.52200801,-0.151359288,2,21,TRUE,FALSE,FALSE
243,,Gloucester Street  Pimlico,51.49096258,-0.139625122,3,22,TRUE,FALSE,FALSE
244,,Earnshaw Street   Covent Garden,51.51611887,-0.128585022,16,2,TRUE,FALSE,FALSE
245,,Grosvenor Road  Pimlico,51.4853572,-0.142207481,19,10,TRUE,FALSE,FALSE
246,,Berry Street  Clerkenwell,51.52285301,-0.099994052,37,4,TRUE,FALSE,FALSE
247,,St. John's Wood Church  Regent's Park,51.530052,-0.168314,1,49,TRUE,FALSE,FALSE
248,,Triangle Car Park  Hyde Park,51.50645179,-0.170279555,0,27,TRUE,FALSE,FALSE
249,,Harper Road  Borough,51.49859784,-0.096191134,10,32,TRUE,FALSE,FALSE
250,,Royal Avenue 1  Chelsea,51.489932,-0.162727,2,8,TRUE,FALSE,FALSE
251,,Brushfield Street  Liverpool Street,51.518908,-0.079249,22,0,TRUE,FALSE,FALSE
252,,Jubilee Gardens  South Bank,51.5046364,-0.116542278,5,25,TRUE,FALSE,FALSE
